,Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
4216,12748,38,1.0,47.705575627852326,46.05649155827263,10.0,25,25.0,2017,0.060753049,B,B,15,2787,2,520.0,0,7,B
3974,9028,27,2.0,75.55422113414335,2.4563916740950456,1.0,14,1.0,1977,0.072157581,B,B,2,629,1,,0,0,A
1124,1908,6,2.0,64.88350677448993,,1.0,3,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
2651,5038,58,2.0,53.19004149713789,10.816032672663471,9.0,15,14.0,2005,0.050755569,B,B,24,5469,1,145.0,0,1,B
999,6491,6,3.0,80.52416501091461,40.70104008260464,1.0,6,1.0,2016,0.243204519,B,B,5,1564,0,540.0,0,0,B
1878,5026,103,2.0,48.47031457342871,34.55350895087747,5.0,2,5.0,1967,0.014423114,B,B,19,3806,4,,0,3,B
4929,6274,23,1.0,41.85589878568871,,1.0,26,25.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
1958,8949,69,3.0,65.35995760974464,47.338307433191936,7.0,5,16.0,1985,0.000991363,B,B,33,6783,3,,1,9,B
865,5386,85,1.0,41.24874493720226,22.62303494794635,10.0,19,22.0,1989,0.037177818,B,B,52,11217,1,2300.0,1,7,B
1577,15197,57,1.0,43.372893505032046,19.42277481778803,10.0,3,10.0,2003,0.133215333,B,B,49,11395,3,1406.0,3,4,A
3073,12396,8,2.0,45.98079102044342,29.68037449062745,5.0,5,9.0,1970,0.43788524,B,B,23,5735,3,1084.0,0,5,B
3570,14551,52,1.0,45.067034207357786,23.26893055584684,8.0,15,14.0,1990,0.371148999,B,B,34,7065,1,750.0,2,5,B
4936,6175,54,1.0,56.74966456352562,41.93418133115168,10.0,14,17.0,2016,0.006076152,B,B,30,5285,0,645.0,6,6,B
2587,2183,3,3.0,64.8988180904975,47.99286241005129,6.0,8,12.0,1972,0.050900058,B,B,43,10621,1,30.0,2,3,B
3815,15889,27,2.0,64.4470289147189,,1.0,9,1.0,1977,0.072157581,B,B,2,629,1,,0,0,A
775,1066,79,2.0,44.01226548475897,29.397664376825013,5.0,2,5.0,1969,0.307466659,B,A,30,5048,9,325.0,2,5,B
4307,12078,139,2.0,48.2706337160088,34.578522363463875,5.0,4,5.0,1962,0.122090347,B,B,29,6566,7,1894.0,4,0,B
4586,8878,48,1.0,39.01916987589296,22.101717346683003,8.0,12,12.0,1982,0.041124634,B,B,46,9515,5,,1,10,B
922,1234,1,2.0,71.90870883067885,75.47705830177568,1.0,3,22.0,2016,0.007122317,B,B,1,264,0,,0,1,B
1791,7664,6,2.0,61.38585485200062,61.57963442092511,1.0,11,17.0,2016,0.243204519,B,B,5,1564,0,540.0,0,0,B
916,11931,9,3.0,81.44153182471769,81.22233103393032,1.0,11,1.0,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B
79,7510,44,2.0,54.39922301983204,32.995435802809595,8.0,18,16.0,1985,0.122190486,B,B,25,4724,2,1308.0,1,3,B
4239,4695,1,1.0,40.19847184508317,21.807061075159822,10.0,12,17.0,2017,0.007122317,B,B,1,264,0,,0,1,B
2882,3148,31,2.0,86.4033153606915,53.353463313847065,16.0,5,40.0,2015,0.151346216,B,A,32,5889,10,830.0,4,1,B
1890,13377,7,2.0,58.63953537985844,33.64345751818232,10.0,10,16.0,1973,0.130617806,B,B,39,10418,9,900.0,1,9,B
586,3375,9,2.0,61.79563588516488,,1.0,4,1.0,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B
4847,9236,1,2.0,62.063715062405,65.54714336696316,0.0,12,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
1262,14081,101,3.0,65.27804860817325,37.96924667271246,8.0,9,12.0,1980,0.225824954,A,B,41,6558,7,1548.0,3,2,B
473,11407,79,4.0,37.92034786532114,21.35748713139034,6.0,6,17.0,2014,0.307466659,B,A,30,5048,9,325.0,2,5,B
243,8299,77,3.0,65.20744811268364,46.76680744515086,6.0,3,9.0,1976,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
3049,436,96,1.0,39.82889019656105,24.11813461581805,8.0,6,12.0,2000,0.041116354,B,B,53,14892,4,,1,4,B
4958,11742,2,2.0,50.60738502436462,32.947971069938504,6.0,2,12.0,1971,0.309479124,B,B,35,7715,4,990.0,0,6,B
